Ref,Val,Package,PosX,PosY,Rot,Side
"R_G45","10k","R_0402_1005Metric",212.217176,-101.600000,0.000000,top
"R_G46","10k","R_0402_1005Metric",212.290000,-103.800000,0.000000,top
"R_I0","0R","R_0402_1005Metric",156.847500,-110.890000,0.000000,top
"R_I1","0R","R_0402_1005Metric",160.127500,-110.890000,180.000000,top
"SW1","boot","SW_SPST_B3U-1000P",194.070000,-119.609269,0.000000,top
"SW2","REST","SW_SPST_B3U-1000P",202.470000,-119.859269,0.000000,top
"SW3","BTN_POWER","SW_PTS645SH43SMTR92LFS",217.217824,-139.760731,0.000000,top
"SW4","BTN_OK","SW_PTS645SH43SMTR92LFS",198.392824,-166.010731,0.000000,top
"SW5","BTN_UP","SW_PTS645SH43SMTR92LFS",198.392824,-155.010731,0.000000,top
"SW6","BTN_DOWN","SW_PTS645SH43SMTR92LFS",198.367824,-176.760731,0.000000,top
"SW7","BTN_LEFT","SW_PTS645SH43SMTR92LFS",211.217824,-166.010731,0.000000,top
"SW8","BTN_RIGHT","SW_PTS645SH43SMTR92LFS",185.417824,-166.010731,0.000000,top
"SX1262","50ohm","U.FL_Hirose_U.FL-R-SMT-1_Vertical",164.325000,-73.600000,-90.000000,top
"TP1","TP_VDD33","TestPoint_Pad_D1.0mm",168.392824,-192.010731,0.000000,top
"TP2","TP_BAT","TestPoint_Pad_D1.0mm",168.392824,-196.760731,0.000000,top
"TP3","TP_5V","TestPoint_Pad_D1.0mm",168.392824,-201.260731,0.000000,top
"TP4","TP_GND","TestPoint_Pad_D1.0mm",175.142824,-192.010731,0.000000,top
"TP5","TP_BOOT","TestPoint_Pad_D1.0mm",175.142824,-196.760731,0.000000,top
"TP7","TP_IR_TX","TestPoint_Pad_D1.0mm",175.142824,-201.260731,0.000000,top
"TP8","TP_UART_TX","TestPoint_Pad_D1.0mm",181.892824,-192.010731,0.000000,top
"TP9","TP_UART_RX","TestPoint_Pad_D1.0mm",181.892824,-196.760731,0.000000,top
"TP10","TP_RESET","TestPoint_Pad_D1.0mm",181.892824,-201.260731,0.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",199.600000,-107.470000,180.000000,top
"U2","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",210.100000,-120.104269,0.000000,top
"U3","CC1101","QLP20",230.720000,-89.750000,90.000000,top
"U7","PN5321A3HN","HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm",167.137500,-97.400000,0.000000,top
"U8","MAX-M8Q","ublox_MAX",227.650000,-112.137500,90.000000,top
"U9","MASW-007221","SOT-363_SC-70-6",232.837500,-133.600000,180.000000,top
"U10","BGA725L6","BGA725L6E6327",234.400000,-129.550000,90.000000,top
"U11","TLV70018_SOT23-5","SOT-23-5",240.050000,-111.112500,90.000000,top
"U12","TXB0102DCU","VSSOP-8_2.3x2mm_P0.5mm",228.600000,-126.250000,180.000000,top
"U13","MCP23017x-x-SS","SSOP-28_5.3x10.2mm_P0.65mm",197.892824,-83.760731,90.000000,top
"U14","TSOP382xx","Vishay_MINICAST-3Pin",191.710000,-129.475000,0.000000,top
"U15","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",227.342824,-187.690731,0.000000,top
"U16","PESD5V0L4UG,115","SOT65P210X110-5N",219.922824,-190.410731,0.000000,top
"U17","AP2112K-3.3","SOT-23-5",212.755324,-197.810731,0.000000,top
"U18","DW01A","SOT-23-6",220.505324,-184.710731,0.000000,top
"U19","SX1262IMLTRT","QFN50P400X400X100-25N",173.500000,-132.450000,90.000000,top
"U20","PE4259","SOT65P215X110-6N",159.700000,-120.950000,90.000000,top
"Y1","40MHz SMD 3225","Crystal_SMD_2016-4Pin_2.0x1.6mm",198.220000,-120.159269,0.000000,top
"Y2","26 MHz SMD","Crystal_SMD_2016-4Pin_2.0x1.6mm",238.450000,-86.800000,-90.000000,top
"Y4","27.120 MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",177.200000,-103.200000,0.000000,top
"Y5","32 MHz SMD","Crystal_SMD_2016-4Pin_2.0x1.6mm",164.250000,-133.500000,90.000000,top
